,0,Kingdom,Phylum,Class,Order,Family,Genus
0,Salmonella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella_bongori
1,Shigella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella_boydii
2,Escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Type_species
3,Enterobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter_cancerogenus
4,Plautia,Animal,Arthropod,Insect,Hemiptera,Pentatomidae,Pentatominae
5,Klebsiella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,a><br 
6,Kosakonia,1,1,1,1,1,Kosakonia
7,Citrobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter_amalonaticus
8,Candidatus,1,1,1,1,1,Candidatus
9,Photorhabdus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Photorhabdus_luminescens
10,Xenorhabdus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus_beddingii
11,Proteus,1,1,1,1,1,Proteus
12,Providencia,1,1,1,1,1,Providencia
13,Wigglesworthia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Wigglesworthia
14,Buchnera,1,1,1,1,1,Buchnera
15,Erwinia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,i> is a genus of <a href=
16,Pantoea,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Type_species
17,Dickeya,Bacteria,Proteobacteria,Gamma_Proteobacteria,Enterobacterales,Pectobacteriaceae,i><sup class=
18,Sodalis,Bacterium,Proteobacteria,Gamma_Proteobacteria,Enterobacterales,Pectobacteriaceae,Sodalis_glossinidius
19,Lonsdalea,1,1,1,1,1,Lonsdalea
20,Brenneria,Bacterium,Proteobacteria,Gamma_Proteobacteria,Enterobacterales,Pectobacteriaceae,i> is a genus of <a href=
21,Serratia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia_aquatilis
22,Yersinia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia_aldovae
23,Edwardsiella,1,1,1,1,1,Edwardsiella
