id,percentage,total,count
GCA_000281215.1_63_GCA_002208745.1_77,1.0,16,16
GCA_000007565.2_2_GCA_000281215.1_63,0.4375,16,7
GCA_000017745.1_1104_GCA_000017765.1_281,0.8429003021148036,331,279
GCA_000007405.1_589_GCA_000497505.1_329,1.0,19,19
GCA_000497505.1_329_GCA_000747565.1_531,0.7,20,14
GCA_000017765.1_663_GCA_000497505.1_329,0.95,20,19
GCA_000283715.1_354_GCA_000497505.1_329,1.0,19,19
GCA_000497505.1_329_GCA_002843685.1_289,1.0,18,18
GCA_000210855.2_325_GCA_000497505.1_329,1.0,19,19
GCA_000497505.1_329_GCA_001559675.1_348,1.0,19,19
GCA_000007405.1_589_GCA_000747565.1_531,0.7368421052631579,19,14
GCA_000007405.1_589_GCA_000017765.1_663,0.9473684210526315,19,18
GCA_000007405.1_589_GCA_000283715.1_354,0.9473684210526315,19,18
GCA_000007405.1_589_GCA_002843685.1_289,1.0,18,18
GCA_000007405.1_589_GCA_000210855.2_325,0.9473684210526315,19,18
GCA_000007405.1_589_GCA_001559675.1_348,0.9473684210526315,19,18
GCA_000007565.2_1_GCA_002208745.1_78,1.0,7,7
GCA_000281215.1_216_GCA_002208745.1_78,0.8571428571428571,7,6
GCA_000007565.2_1_GCA_000281215.1_216,0.8571428571428571,7,6
GCA_000017745.1_2472_GCA_001559675.1_524,0.45454545454545453,11,5
GCA_000017745.1_2472_GCA_000497505.1_454,0.8,5,4
GCA_000017745.1_2472_GCA_001559675.1_477,0.8,5,4
GCA_000017765.1_130_GCA_000017765.1_638,0.7903831705484599,1331,1052
GCA_000017765.1_130_GCA_000017765.1_152,0.6829451540195342,1331,909
GCA_000017765.1_130_GCA_000017765.1_611,0.6874530428249437,1331,915
GCA_000017765.1_130_GCA_000017765.1_75,0.6252158894645942,1158,724
GCA_000017765.1_130_GCA_000017765.1_298,0.6581517655897822,1331,876
GCA_000017765.1_130_GCA_000017765.1_92,0.6604057099924868,1331,879
GCA_000017765.1_130_GCA_000017765.1_490,0.6558978211870774,1331,873
GCA_000017745.1_2028_GCA_000017765.1_130,0.9331329827197595,1331,1242
GCA_000017765.1_130_GCA_000017765.1_702,0.386175807663411,1331,514
GCA_000017765.1_105_GCA_000017765.1_130,0.49812171299774605,1331,663
GCA_000017765.1_130_GCA_000017765.1_603,0.4695717505634861,1331,625
GCA_000017765.1_130_GCA_000017765.1_179,0.41397445529676935,1331,551
GCA_000017765.1_130_GCA_000017765.1_193,0.5,12,6
GCA_000017765.1_152_GCA_000017765.1_638,0.5149409312022237,1439,741
GCA_000017765.1_611_GCA_000017765.1_638,0.5434329395413482,1439,782
GCA_000017765.1_638_GCA_000017765.1_75,0.5086355785837651,1158,589
GCA_000017765.1_298_GCA_000017765.1_638,0.5014577259475219,1372,688
