Column1,ID,mean_score,min_eval,count,response,Column2
1675,GCA_000281215.1_137,5255.912777,1.43E-22,10,0,ssu
3120,GCA_002849875.1_81,4141.226432,6.02E-09,5,0,lsu
2361,GCA_001042875.1_166,2080.108502,1.25E-05,5,0,antisense RNA
2352,GCA_001042875.1_123,1649.084931,1.50E-18,11,0,tRNA
3511,GCA_900243355.1_268,1621.69363,8.81E-08,4,0,none
3560,GCA_900243355.1_694,1285.166224,1.44E-13,8,0,tRNA
659,GCA_000017745.1_2054,1202.621932,2.75E-11,18,0,miscellaneous RNA
74,GCA_000006945.2_4204,1144.65472,5.23E-06,1,0,tRNA
3495,GCA_900243355.1_167,1125.65517,4.94E-07,1,0,tRNA
89,GCA_000006945.2_989,1082.240998,3.20E-09,4,0,miscellaneous RNA
216,GCA_000007405.1_40,1073.457477,2.48E-34,52,0,antisense RNA
1834,GCA_000283715.1_358,1066.136492,2.50E-12,5,0,tRNA
3553,GCA_900243355.1_611,1057.884979,6.74E-12,19,0,miscellaneous RNA
786,GCA_000017745.1_581,1052.087025,2.31E-22,51,0,protein
3531,GCA_900243355.1_417,1042.188074,6.22E-17,16,0,none
3558,GCA_900243355.1_665,1007.035428,1.94E-10,10,0,miscellaneous RNA
269,GCA_000007405.1_525,994.82391,0.00455826,1,0,
40,GCA_000006765.1_91,993.765306,1.82E-20,93,0,
3557,GCA_900243355.1_66,965.1471311,2.12E-09,28,0,
3489,GCA_900243355.1_12,959.9384622,1.86E-11,9,0,
80,GCA_000006945.2_4860,936.7313245,1.59E-09,20,0,
3577,GCA_900243355.1_85,922.6958502,6.47E-22,53,0,
3571,GCA_900243355.1_785,887.5492292,2.60E-09,12,0,
3544,GCA_900243355.1_522,862.55268,1.84E-06,3,0,
77,GCA_000006945.2_4486,821.51302,1.50E-11,8,0,
3515,GCA_900243355.1_296,818.9925176,1.41E-17,25,0,
478,GCA_000017745.1_1143,809.3877217,2.47E-13,12,0,
87,GCA_000006945.2_842,801.0996654,1.83E-10,13,0,
3498,GCA_900243355.1_181,800.6294933,1.27E-08,3,0,
3568,GCA_900243355.1_763,789.4770767,0.000882841,3,0,
3514,GCA_900243355.1_29,772.0425756,2.16E-13,25,0,
2219,GCA_000747565.1_199,753.0420309,1.53E-21,32,0,
440,GCA_000017745.1_100,745.002693,6.25E-10,10,0,
3509,GCA_900243355.1_265,731.8430231,2.33E-09,13,0,
3488,GCA_900243355.1_119,727.1881231,2.15E-14,16,0,
3516,GCA_900243355.1_304,718.1622418,1.34E-09,17,0,
51,GCA_000006945.2_2102,713.2867766,1.34E-20,53,0,
3506,GCA_900243355.1_24,677.31203,0.000329777,14,0,
3574,GCA_900243355.1_83,674.96887,4.20E-08,6,0,
430,GCA_000015425.1_225,671.20624,3.71E-12,4,0,
238,GCA_000007405.1_444,666.04857,4.51E-05,3,0,
3555,GCA_900243355.1_633,653.7111365,7.22E-17,83,0,
2800,GCA_002355295.1_161,648.5877625,3.03E-13,4,0,
81,GCA_000006945.2_4952,647.8843123,1.32E-38,57,0,
3084,GCA_002848605.1_46,590.7634883,6.87E-09,18,0,
2,GCA_000006765.1_156,588.0268807,1.06E-13,41,0,
1888,GCA_000283715.1_578,583.1223114,9.93E-19,37,0,
3538,GCA_900243355.1_492,580.0478891,1.50E-11,22,0,
3561,GCA_900243355.1_705,576.8925773,5.99E-12,26,0,
60,GCA_000006945.2_2787,569.008035,1.32E-07,2,0,
4,GCA_000006765.1_192,568.5713023,3.93E-17,66,0,
3543,GCA_900243355.1_518,568.5244457,3.72E-09,7,0,
69,GCA_000006945.2_4107,553.2843979,1.35E-21,14,0,
638,GCA_000017745.1_1913,549.2593122,2.82E-18,18,0,
3572,GCA_900243355.1_819,546.4802433,1.01E-15,18,0,
275,GCA_000007405.1_553,546.38596,0.000610483,1,0,
14,GCA_000006765.1_406,540.00679,6.66E-14,20,0,
44,GCA_000006945.2_1319,534.9171379,1.18E-18,38,0,
28,GCA_000006765.1_715,531.994886,3.26E-07,5,0,
3523,GCA_900243355.1_364,527.7004686,0.00438438,7,0,
55,GCA_000006945.2_2692,518.9141906,2.97E-21,103,0,rna
47,GCA_000006945.2_1622,514.6261453,2.59E-15,68,0,
2110,GCA_000497505.1_319,508.2259773,3.71E-21,30,0,
1526,GCA_000213655.1_313,507.3504575,4.34E-10,4,0,
3518,GCA_900243355.1_339,502.3870954,2.42E-15,13,0,
739,GCA_000017745.1_281,501.5971875,2.92E-14,69,0,
3559,GCA_900243355.1_680,496.3903769,1.92E-14,29,0,
672,GCA_000017745.1_2115,472.96863,0.00387423,3,0,
3512,GCA_900243355.1_276,469.7282984,3.08E-18,95,0,none
82,GCA_000006945.2_4954,462.7110273,5.46E-15,44,0,
3526,GCA_900243355.1_383,439.7245675,3.21E-05,4,0,
475,GCA_000017745.1_1136,433.4428238,6.65E-15,13,0,
520,GCA_000017745.1_1372,433.3331496,1.88E-13,25,0,
1880,GCA_000283715.1_527,425.5782243,4.15E-16,93,0,
17,GCA_000006765.1_452,417.8199874,9.45E-24,27,0,
3554,GCA_900243355.1_616,416.539173,1.46E-15,10,0,
3502,GCA_900243355.1_221,411.90714,2.86E-26,8,0,
2364,GCA_001042875.1_198,409.61007,0.000630951,1,0,
64,GCA_000006945.2_344,401.709104,1.97E-08,5,0,
720,GCA_000017745.1_2388,399.1040192,6.21E-21,49,0,
411,GCA_000007565.2_9,392.45221,0.000494601,2,0,
3505,GCA_900243355.1_235,386.12437,3.10E-07,5,0,
3159,GCA_002850215.1_469,382.28233,1.20E-06,5,0,
418,GCA_000015425.1_127,378.9357243,0.000665483,7,0,
1081,GCA_000017765.1_532,376.3934533,4.76E-19,6,0,
22,GCA_000006765.1_515,361.3362303,4.59E-11,34,0,
3532,GCA_900243355.1_429,357.2082536,1.43E-12,25,0,
70,GCA_000006945.2_4127,340.9622767,1.11E-09,9,0,
1877,GCA_000283715.1_493,340.807194,2.59E-05,5,0,
3507,GCA_900243355.1_244,337.7496719,3.35E-09,16,0,
3541,GCA_900243355.1_509,334.1678,0.00383775,2,0,
39,GCA_000006765.1_830,331.695048,0.000208567,5,0,
3575,GCA_900243355.1_833,328.5168956,6.38E-10,25,0,
709,GCA_000017745.1_2296,324.1920138,1.77E-21,47,0,
3535,GCA_900243355.1_455,317.2430575,1.07E-08,8,0,
580,GCA_000017745.1_1631,312.240015,1.66E-10,4,0,
52,GCA_000006945.2_2107,302.97414,8.75E-07,6,0,
3519,GCA_900243355.1_347,292.0134224,4.45E-17,25,0,
887,GCA_000017765.1_133,288.61392,1.29E-05,9,0,
84,GCA_000006945.2_4963,288.1198686,1.33E-16,36,0,
3530,GCA_900243355.1_413,285.6682421,8.30E-20,14,0,
3548,GCA_900243355.1_548,283.3323508,2.32E-08,13,0,
3503,GCA_900243355.1_224,282.6279731,1.35E-10,32,0,
797,GCA_000017745.1_636,281.1287146,3.98E-24,24,0,
48,GCA_000006945.2_1771,280.614603,4.27E-10,20,0,
3546,GCA_900243355.1_531,277.4338444,1.69E-13,79,0,
2809,GCA_002355295.1_424,274.45875,2.83E-06,9,0,
3499,GCA_900243355.1_185,264.7491567,4.56E-12,18,0,
75,GCA_000006945.2_4280,262.8483703,4.12E-12,31,0,
3573,GCA_900243355.1_826,260.7734726,2.23E-09,19,0,
3524,GCA_900243355.1_372,251.7535071,4.90E-05,14,0,
629,GCA_000017745.1_1882,248.5668028,2.34E-20,18,0,
2729,GCA_002220715.1_353,239.9510636,5.87E-16,28,0,
2580,GCA_001886455.1_65,239.901186,1.61E-07,5,0,
56,GCA_000006945.2_274,235.058295,5.07E-08,6,0,
3504,GCA_900243355.1_234,227.5033307,4.99E-11,28,0,
1954,GCA_000438825.1_173,213.4187,0.000802592,1,0,
10,GCA_000006765.1_356,209.27832,6.06E-09,12,0,
1051,GCA_000017765.1_461,208.40842,0.00532487,1,0,
1522,GCA_000213655.1_261,206.1891633,9.39E-12,6,0,
570,GCA_000017745.1_1585,191.27886,8.35E-05,1,0,
3130,GCA_002850215.1_163,179.94632,2.10E-06,2,0,
3552,GCA_900243355.1_590,162.75032,0.0109791,2,0,
492,GCA_000017745.1_1215,159.4556956,4.40E-20,9,0,
3547,GCA_900243355.1_534,156.56924,0.0066361,1,0,
2795,GCA_002355295.1_107,155.91708,0.0114021,1,0,
631,GCA_000017745.1_1886,155.2813533,2.62E-07,3,0,
1405,GCA_000210855.2_185,153.1959618,3.53E-08,11,0,
264,GCA_000007405.1_515,144.99012,0.00585901,2,0,
130,GCA_000007405.1_211,144.15265,0.0198291,1,0,
400,GCA_000007565.2_375,139.882516,0.000223888,5,0,
3041,GCA_002848605.1_16,139.02355,0.00156175,1,0,
2816,GCA_002355295.1_555,138.7348313,0.00370654,8,0,
854,GCA_000017745.1_911,133.43787,6.71E-09,2,0,
354,GCA_000007565.2_109,130.924385,0.000790098,2,0,
2802,GCA_002355295.1_195,129.64073,0.0144306,1,0,
980,GCA_000017765.1_30,129.25575,0.00276638,1,0,
2995,GCA_002843685.1_307,122.361245,0.0382623,2,0,
601,GCA_000017745.1_1762,120.3278,0.00929204,1,0,
190,GCA_000007405.1_339,104.70233,0.0480564,1,0,
630,GCA_000017745.1_1885,101.52711,0.0262215,1,0,
1066,GCA_000017765.1_490,99.28564,0.00159668,1,0,
58,GCA_000006945.2_2755,98.007025,2.11E-05,2,0,
8,GCA_000006765.1_330,96.6036525,0.000843718,4,0,
501,GCA_000017745.1_1249,96.0996,0.00757787,1,0,
459,GCA_000017745.1_1062,95.13636,0.00134339,1,0,
210,GCA_000007405.1_382,92.12701,0.000395583,1,0,
507,GCA_000017745.1_1274,89.27999,1.81E-07,3,0,
